epoch,train_SER,val_SER
0,0.10065468749999995,0.022675
1,0.022451562500000022,0.021556250000000055
2,0.021679687500000044,0.02113750000000003
3,0.02112343750000001,0.0209125
4,0.020714062499999963,0.020637499999999975
5,0.02020468750000004,0.02023750000000002
6,0.019668750000000013,0.01975625000000003
7,0.01916093750000003,0.019187500000000024
8,0.018704687499999983,0.01847500000000002
9,0.01843281249999995,0.018337500000000007
10,0.01817187499999995,0.018024999999999958
11,0.018089062499999975,0.01789375000000004
12,0.017996875000000023,0.017793750000000053
13,0.017884374999999952,0.01768124999999998
14,0.017821874999999987,0.017674999999999996
15,0.017710937499999968,0.017637499999999973
16,0.017698437499999997,0.017587499999999978
17,0.017609375000000038,0.017518750000000027
18,0.017564062499999977,0.017512500000000042
19,0.017596874999999956,0.01754374999999997
20,0.017546874999999962,0.017562500000000036
21,0.017539062500000036,0.01761250000000003
22,0.01752187500000002,0.01770000000000005
23,0.017473437499999966,0.01761250000000003
24,0.017481250000000004,0.017793750000000053
25,0.017426562499999965,0.01788124999999996
26,0.017390624999999993,0.01808125000000005
27,0.017490624999999982,0.018843750000000048
28,0.017507812499999997,0.018681249999999983
29,0.01746562500000004,0.018750000000000044
30,0.017471875000000026,0.019031250000000055
31,0.01747812500000001,0.019118749999999962
32,0.017429687499999957,0.01865625000000004
33,0.01740781250000001,0.01898124999999995
34,0.01737500000000003,0.01898124999999995
35,0.01735468750000002,0.018693749999999953
36,0.01735468750000002,0.01858749999999998
37,0.017379687499999963,0.018818749999999995
38,0.017340625,0.018850000000000033
39,0.017335937499999954,0.018931249999999955
40,0.01729687499999999,0.018743749999999948
41,0.017304687500000027,0.01864374999999996
42,0.017254687500000032,0.01882499999999998
43,0.01727656249999998,0.018743749999999948
44,0.017243750000000002,0.018850000000000033
45,0.017259374999999966,0.018893750000000042
46,0.017245312500000054,0.01878124999999997
47,0.017223437499999994,0.01885625000000002
48,0.017267187500000003,0.01896874999999998
49,0.01722968749999998,0.019893750000000043
50,0.0171734375,0.019012499999999988
51,0.01720937499999997,0.020143750000000016
