number Of train samples: 99968
number Of batches in an epoch: 781
epoch, loss, trainAcc 

0,0.23874220555972345,0.8314098011363641
1,0.25110887080040434,0.8816221190781042
2,0.06167960126106644,0.8889469630281683
3,0.1956476738237974,0.8923880641805378
4,0.15004109174025512,0.8944787331946228
5,0.18635493048378307,0.8920717129481441
6,0.19293603681616195,0.8938247739276567
7,0.1954093919380984,0.8958141605313699
8,0.16326410390422713,0.8972108574743916
9,0.04718800784253556,0.8986613216229196
10,0.17926203034269947,0.8965318902048657
11,0.1685148379028146,0.8981261503681178
12,0.20465769125976965,0.8985925496158778
13,0.17302840281369963,0.8981198983674777
14,0.2163386688228037,0.8990139344590261
15,0.069626779850952,0.8960617397567223
16,0.20918131789303232,0.8970070422535211
17,0.04395081406483397,0.8984249959987202
18,0.19245296030551606,0.8989076504481432
19,0.21176110701577935,0.8963505821862997
20,0.19128660221102659,0.9017535611395654
21,0.16371259675462402,0.9008857834507047
22,0.20257619090696433,0.8975359615076826
23,0.18327869095451554,0.8981974231754154
24,0.12049355020249458,0.8978835727432781
25,0.1637729888187194,0.9008782810499365
26,0.21593036690400244,0.898139904769526
27,0.044019892487925934,0.8989013984475032
28,0.1646822846679771,0.8976635023207419
29,0.1311994021961539,0.8991577304737506
30,0.17444042854710623,0.9004781530089627
31,0.1700481460618135,0.9023687580025611
32,0.17840104083695868,0.901769816341229
33,0.14560562563896187,0.9008682778489117
34,0.048582340330464956,0.9019323683578738
35,0.11821907167723814,0.9032752980953912
36,0.06898049323115174,0.9026838588348276
37,0.20182637430518482,0.901444712307939
38,0.15882212115785194,0.9004694002080667
39,0.14715573935715967,0.9019311179577466
40,0.15245131233150658,0.8994740817061461
41,0.18188678705702827,0.9021861995838671
42,0.04947588546292459,0.9042055957906525
43,0.0679669779433328,0.9027151188380282
44,0.10071519463337406,0.8990039312580022
45,0.1898391128487447,0.900380621798975
46,0.048422036344359404,0.9012521506882196
47,0.1514785653338167,0.9013534330985914
48,0.038529181009948,0.902338748399488
49,0.17859511997074418,0.9027826404449428
50,0.191373284358795,0.9009883162612036
51,0.16734570659458264,0.9017848211427659
52,0.17333508751995275,0.9001568001760556
53,0.07756220508182445,0.9042856213988467
54,0.05343951854251572,0.9028789212548015
55,0.1789476519692509,0.9013359274967996
56,0.0466569907795531,0.9034466029129321
57,0.15696709879858048,0.9029977092669668
58,0.20447149060376368,0.902590078825223
59,0.14858622618552847,0.9024575364116515
60,0.15222162417900126,0.9039592669654296
61,0.1586528900358128,0.9057373359475033
62,0.17358917454378356,0.9050996318822022
63,0.17141789640890934,0.903790462948144
64,0.1589745254707321,0.9043506422055062
65,0.16722675612572976,0.9042831205985907
66,0.04153019986078025,0.9055347711267607
67,0.18083749930167098,0.9030164652688862
68,0.17751210937978673,0.90338408290653
69,0.15972211883848356,0.9046219790332908
70,0.2336115527753372,0.905134643085788
71,0.14857215333234844,0.9060249279769519
72,0.06378374538188619,0.9034416013124201
73,0.1818491901854872,0.9024737916133159
74,0.10004269345003232,0.9044119118117803
75,0.20331141855924204,0.9033603253040965
76,0.0717993288512681,0.9025500660211266
77,0.0694016789454987,0.9053597151088346
78,0.05041940363293296,0.9044756822183095
79,0.15353556288211284,0.9053922255121645
80,0.16317354727037786,0.9050321102752881
81,0.14743607398533312,0.90423310459347
82,0.17923468289769595,0.9054672495198459
83,0.13272947781646252,0.9052446782970539
84,0.16635591165215133,0.905325954305377
85,0.09971762411189299,0.9054872559218943
86,0.05255236267266179,0.9057035751440451
87,0.16769749357615904,0.9047820302496788
88,0.14934756546921885,0.9032490396927019
89,0.1832808013260182,0.9013309258962867
90,0.1865766842290456,0.9062324943982076
91,0.129257133514819,0.9083131602112682
92,0.08670059282198672,0.9036641725352105
93,0.20129843547294862,0.905164652688861
94,0.06209097434061291,0.9054872559218948
95,0.05220763472386897,0.9055335207266322
96,0.10591928724262825,0.9069627280729828
97,0.05032160986537394,0.904429417413572
98,0.15647487153318232,0.9070402528809213
99,0.1581350470334949,0.9053659671094744
100,0.0739099870886963,0.9072540713028162
101,0.15294646986961216,0.9045957206306012
102,0.05834574697800914,0.9063087688060171
103,0.04454408253189632,0.90409806137964
104,0.0871377087445552,0.9057535911491681
105,0.04124473790799967,0.9061549695902685
106,0.18582130178932274,0.9078817721670935
107,0.14042816792150817,0.9063975472151087
108,0.15317869623943153,0.9042756181978246
109,0.1898936633768632,0.9059936679737517
110,0.06588849583793348,0.9046769966389241
111,0.1513941191784797,0.9059336487676058
112,0.09864694528694498,0.9072428177016644
113,0.05600122024611638,0.9061212087868125
114,0.20637198834983636,0.9083481714148527
115,0.18892888185515386,0.904055547775288
116,0.06555723208471094,0.9061337127880926
117,0.12866892103778463,0.9063912952144699
118,0.06486499718622174,0.9059086407650452
119,0.07417989555972213,0.908324413812419
120,0.1193347900102598,0.9086157570422531
121,0.14736236479068388,0.9060661911811786
122,0.09880936749038532,0.9054822543213823
123,0.18199495566378537,0.9065413432298338
124,0.1415441527860943,0.9109302476792573
125,0.11848798487254898,0.9068164312580027
126,0.1617491236816032,0.906871448863637
127,0.06149283303915781,0.9072690761043525
128,0.1441028832790919,0.905904889564661
129,0.08128161881074947,0.9070815160851479
130,0.18758436014890673,0.9064800736235584
131,0.15791953017839402,0.9087670554577468
132,0.062038978348961236,0.90645381522087
133,0.05866581762045774,0.9073716089148534
134,0.20183751745042083,0.9082393866037136
135,0.05018246114834597,0.9063562840108832
136,0.16225934424591268,0.9065225872279136
137,0.050398123786785,0.9066651328425093
138,0.1775635107623619,0.9073253441101145
139,0.16169325129163067,0.9087145386523686
140,0.058417733891495335,0.9074903969270167
141,0.19415721250835383,0.9082381362035848
142,0.13293107463516263,0.9063300256081944
143,0.16182210910022285,0.9088445802656844
144,0.18895724933672411,0.9080943401888597
145,0.17079614629724868,0.9097923835627404
146,0.14038458127912629,0.9049920974711905
147,0.07262883420274338,0.9079317881722154
148,0.12701054141726725,0.9076354433418695
149,0.05399767496606194,0.9102575324103717
150,0.1316470665591693,0.9082994058098598
151,0.13938987303872555,0.9089708706786177
152,0.1528614085096022,0.9062862616037131
153,0.07071394399871847,0.9073953665172856
